ID,ln_LR
portfolio_120,0.9867503334650607
portfolio_134,0.08596618127115817
portfolio_26,0.11064343991144218
portfolio_444,0.126478456238228
portfolio_336,0.1873203078721988
portfolio_450,0.10322068359312521
portfolio_518,0.19626570216622327
portfolio_256,0.07824801527369964
portfolio_242,0.20784867786392933
portfolio_243,0.21442142345527984
portfolio_531,0.1888370146520006
portfolio_257,0.09071581062284458
portfolio_519,0.09195902438829152
portfolio_337,0.07853494088082036
portfolio_451,0.08180656268294428
portfolio_445,0.20317946741012005
portfolio_27,0.19809538217589487
portfolio_135,0.04403903471594152
portfolio_137,0.07646504624829388
portfolio_25,0.083716858555273
portfolio_19,0.18891548473213474
portfolio_453,0.08724897806528335
portfolio_335,0.17917116010176443
portfolio_447,0.1061598798742382
portfolio_269,0.20086252657927145
portfolio_241,0.11145628413520067
portfolio_255,0.18526490841779714
portfolio_533,0.08247304225160511
portfolio_254,0.08507404757345385
portfolio_532,0.07583807315629296
portfolio_268,0.18189866289244208
portfolio_320,0.200348366410349
portfolio_446,0.12451005068264182
portfolio_452,0.07631714783781735
portfolio_334,0.08494586544614177
portfolio_18,0.07004848619784142
portfolio_24,0.09585305046070827
portfolio_30,-0.3845652820662687
portfolio_136,0.2175627761011561
portfolio_132,0.17470165768951637
portfolio_20,0.06969484214128097
portfolio_456,0.19474532577390352
portfolio_442,0.11052208789045727
portfolio_318,0.204493652544674
portfolio_244,0.12707040848359888
portfolio_536,0.07171757882935362
portfolio_250,-0.042302107310730586
portfolio_537,0.0911909848665025
portfolio_251,0.08882725324724036
portfolio_245,0.0840081507310739
portfolio_319,0.21377842712515524
portfolio_443,0.11677141275516238
portfolio_331,0.18910367338332507
portfolio_457,0.08652628573444957
portfolio_21,0.07717165547734207
portfolio_133,0.004578172517233677
portfolio_131,0.17610268557228012
portfolio_119,0.20026288823152374
portfolio_23,0.21126962555763562
portfolio_441,0.2188810285000226
portfolio_455,0.19713504037937746
portfolio_333,0.18156653266252584
portfolio_469,0.21421541435607924
portfolio_253,0.19647817994814465
portfolio_535,0.08666088138620164
portfolio_247,0.09684145148570532
portfolio_520,0.08504886374702259
portfolio_246,0.12178612185764723
portfolio_252,0.1967528239685672
portfolio_534,0.20082007448880504
portfolio_468,0.0677531416041705
portfolio_454,0.08585111184273019
portfolio_332,0.19494399267949147
portfolio_22,0.1389464383259279
portfolio_118,0.2844166340355242
portfolio_157,0.1539174081280484
portfolio_45,0.2018687313573435
portfolio_51,0.11979937808118477
portfolio_180,0.2001748034970672
portfolio_194,0.03671961444088058
portfolio_427,0.0982032297168285
portfolio_355,0.09653323920287583
portfolio_396,0.1707788256665962
portfolio_209,0.17956635472028468
portfolio_553,0.20974945860802485
portfolio_221,0.21313756059999114
portfolio_4,0.2072630691261747
portfolio_591,0.16108273261949127
portfolio_5,0.18468927159995707
portfolio_220,0.2285972840758461
portfolio_552,0.09179006845423414
portfolio_208,0.09647775019467528
portfolio_397,0.1525436977166751
portfolio_354,0.09747950748273114
portfolio_340,0.022685513515791098
portfolio_426,0.09971911105042686
portfolio_195,0.051525353306583525
portfolio_50,-0.3407401679184027
portfolio_44,-0.36081407241858315
portfolio_156,0.19635098328384024
portfolio_154,-0.004957155563048349
portfolio_140,0.19584444061746673
portfolio_52,0.07865005976066115
portfolio_46,0.10076896318906269
portfolio_197,0.1402419541743719
portfolio_418,0.2287002012576699
portfolio_356,0.1842881633528044
portfolio_430,0.20601595037833215
portfolio_424,0.09146067611115385
portfolio_395,0.0633095139806786
portfolio_578,0.11548758581097429
portfolio_222,0.10899180523077631
portfolio_7,0.21125299976470355
portfolio_593,0.1519141713543017
portfolio_592,0.1714521763370312
portfolio_6,0.23437565448010197
portfolio_551,0.1017029886809795
portfolio_223,0.09185049161661525
portfolio_579,0.10238173485598888
portfolio_380,0.09436288166168075
portfolio_394,0.16117542482726346
portfolio_425,0.117699785194234
portfolio_357,0.12252466813966476
portfolio_419,0.10800371294919119
portfolio_196,0.14617346804023287
portfolio_47,0.10051466647261309
portfolio_53,0.08004095403253535
portfolio_155,0.21109383582823985
portfolio_151,0.13934577376763554
portfolio_179,0.10332059084248041
portfolio_192,0.053773874622198695
portfolio_57,0.09658067781656673
portfolio_43,0.12525886209077933
portfolio_353,0.09664251428893374
portfolio_421,0.21450685147835016
portfolio_409,0.20597387503959422
portfolio_227,0.08987486492390681
portfolio_555,0.20721504882851138
portfolio_596,0.06401546794778731
portfolio_2,-0.08605027871532961
portfolio_3,0.0747390380293422
portfolio_597,0.1671563082099897
portfolio_554,0.20163938900334924
portfolio_540,0.19414932382616026
portfolio_226,0.09635113155332965
portfolio_391,0.0456565623765521
portfolio_408,0.09346454804684774
portfolio_420,0.17849391601918596
portfolio_352,0.20643182428191867
portfolio_42,0.11439643664044896
portfolio_56,0.1968947728830538
portfolio_193,-0.016487827883847398
portfolio_178,0.15292776941655517
portfolio_152,0.113499232835102
portfolio_68,0.16519440627467397
portfolio_191,0.6895145328063128
portfolio_54,0.1919574047998037
portfolio_422,0.08693575020658464
portfolio_378,0.11691963255425937
portfolio_393,0.16116701500707736
portfolio_556,0.2076781491188944
portfolio_230,0.09549542260360576
portfolio_224,0.08794329090772521
portfolio_218,0.11803606344784588
portfolio_595,0.1589420956325316
portfolio_1,0.10846998388938156
portfolio_580,0.1025964031356305
portfolio_594,0.06221150583427948
portfolio_219,0.20795687551300535
portfolio_225,0.1793412081109938
portfolio_557,0.09604120080166621
portfolio_392,0.05794204631687341
portfolio_379,0.20542424960608832
portfolio_351,0.10792606907996966
portfolio_423,0.2110396555880818
portfolio_55,0.21185672264608163
portfolio_41,0.2087923229805778
portfolio_69,0.15131879297841602
portfolio_153,1.509509601988806
portfolio_176,-0.031522814081887784
portfolio_64,0.42544814883713056
portfolio_70,0.2143012565467628
portfolio_58,0.16269257566630657
portfolio_360,0.09968846624552118
portfolio_406,0.0791332619595837
portfolio_412,0.09335979607153214
portfolio_374,0.23102310752629243
portfolio_228,0.2264582353197515
portfolio_214,0.2127326994888874
portfolio_572,0.10781449898986169
portfolio_200,0.0879572397239025
portfolio_599,0.15958982647725822
portfolio_598,0.16781210056322785
portfolio_201,0.1041508048637223
portfolio_215,0.09846648656020744
portfolio_573,0.2172217968311454
portfolio_229,0.21140756293830618
portfolio_413,0.2318382044920411
portfolio_375,0.12082217755875775
portfolio_407,0.09939643375966106
portfolio_59,0.21101478910755433
portfolio_65,0.09531495412231465
portfolio_177,0.13632807162185956
portfolio_175,0.1268656550437403
portfolio_67,-0.02025856208887601
portfolio_377,0.22856634513757199
portfolio_411,0.1207974018419137
portfolio_405,0.0784479133510628
portfolio_559,0.10964479511040998
portfolio_203,0.10829927255156946
portfolio_571,0.16821768461336437
portfolio_217,0.08866520457559446
portfolio_216,0.22241235582910288
portfolio_202,0.19578662759745574
portfolio_558,0.0962284069385166
portfolio_404,0.21650813372306982
portfolio_376,0.12200042038382966
portfolio_410,0.08886365857367826
portfolio_66,0.011127633833801432
portfolio_160,-0.038891487379704
portfolio_174,0.1832087434807124
portfolio_158,0.22738761849294498
portfolio_62,-0.09117076586032147
portfolio_414,0.21851538520951266
portfolio_372,0.10694927350414006
portfolio_400,0.15960770104489944
portfolio_428,0.010366550455356125
portfolio_399,0.17270703730336598
portfolio_560,0.1005633898228152
portfolio_206,0.08419490290641453
portfolio_212,0.10414133174047172
portfolio_574,0.09760164173977089
portfolio_213,0.11096522119961373
portfolio_575,0.13293494147443294
portfolio_207,0.02058961126384295
portfolio_398,0.15514284492733438
portfolio_429,0.09331041721199464
portfolio_401,0.20020498876702927
portfolio_415,0.09877590321523522
portfolio_373,0.10073775673972764
portfolio_63,0.20721607155576605
portfolio_159,-0.48513595254722414
portfolio_171,0.1221255170598894
portfolio_173,0.08883263111472298
portfolio_49,0.09293633340789537
portfolio_198,0.14261557755822973
portfolio_61,-0.39577138511071697
portfolio_403,0.10741044003551051
portfolio_371,0.028024935923883686
portfolio_417,0.11684413971292916
portfolio_359,0.18505336412316392
portfolio_577,0.11082624428894379
portfolio_211,0.12906330146411726
portfolio_205,0.20410518888984655
portfolio_8,0.20384540112857394
portfolio_9,0.21197554153608775
portfolio_204,0.11100808410112634
portfolio_576,0.22107269652193542
portfolio_210,0.016535909902499858
portfolio_358,0.20924838970064932
portfolio_416,0.09886833553384326
portfolio_402,0.09987633632631741
portfolio_60,0.0733795994020512
portfolio_199,0.05334026152604558
portfolio_48,0.2389088806254502
portfolio_172,0.18139304981307375
portfolio_600,0.049781993316075794
portfolio_115,0.015589721569495852
portfolio_13,0.30360530408607306
portfolio_459,0.19688424374589894
portfolio_465,0.2049935025706881
portfolio_317,0.09597499544580211
portfolio_539,0.18849996366483887
portfolio_511,0.19632167504397546
portfolio_263,0.200595238175711
portfolio_262,0.2000164573571485
portfolio_538,0.1970269383509966
portfolio_316,0.19970796908254299
portfolio_470,0.08936055181965805
portfolio_464,0.20153372399046832
portfolio_458,0.10063848963569412
portfolio_12,0.13721590013943813
portfolio_114,0.1629826198277976
portfolio_116,0.1839805277452171
portfolio_10,0.07222552212702224
portfolio_314,0.09241351844251647
portfolio_466,0.0945056413850677
portfolio_248,0.10894406929931894
portfolio_260,0.19061399428463224
portfolio_512,0.09848400499512824
portfolio_513,0.08492853702111991
portfolio_261,0.10449422716987339
portfolio_249,0.11169276830780064
portfolio_467,0.183865073500671
portfolio_315,0.0289782747305044
portfolio_11,0.12983831634228127
portfolio_117,0.0329480710089665
portfolio_113,0.09536484625198687
portfolio_29,0.13058283962611145
portfolio_15,0.2384687081870483
portfolio_311,0.09857768976618125
portfolio_463,0.08968576616740145
portfolio_339,0.09536403867308559
portfolio_265,0.09298678001027479
portfolio_517,0.08811273966916833
portfolio_259,0.09721729098136363
portfolio_258,0.1840069246701019
portfolio_516,0.20504253909693124
portfolio_270,0.08384038827761027
portfolio_264,0.07976027198884396
portfolio_338,0.0887340928599502
portfolio_462,0.08712081377700256
portfolio_14,0.2149846027510893
portfolio_28,0.08857826065922451
portfolio_112,0.07095484572822232
portfolio_138,0.1710503135737223
portfolio_16,0.22496166185882688
portfolio_460,0.20381455017271083
portfolio_312,0.2168875796479645
portfolio_448,0.09940572023609576
portfolio_514,0.21278928060494454
portfolio_266,0.19130618598618418
portfolio_267,0.17616900995417112
portfolio_515,0.20186896372167487
portfolio_449,0.11457227734835919
portfolio_313,0.09340199113546747
portfolio_461,0.07666515936061186
portfolio_17,0.1176550269630787
portfolio_139,0.1979410113630917
portfolio_111,0.014734040086379742
